id,Vtuber名,YoutubeのURL,曲名,ジャンル,リリース年,所属,アイコン画像URL,作詞者名,作曲者名,編曲者名,MIX者名,楽器演奏者名,リミックス作成者,X（旧Twitter）のURL,YoutubeチャンネルURL,サブスクURL,ローマ字,ハングル文字,タイムスタンプ
149,Ayaka Zaphyr,https://www.youtube.com/watch?v=MUQdrEEQMCM,Doble Cara「ダブルフェイス」,,2023,,https://yt3.googleusercontent.com/LOJUfQuz6dYjns2rs-TdJTvCSEErCh5pQ5GMSJHkOF6HzEEPKcigGphV1yVLtrNTgKnON8gc9w=s160-c-k-c0x00ffffff-no-rj,,DeoxysBeats‬ ,DeoxysBeats‬ ,tecnoanime‬ ,,,https://twitter.com/AyakaZaphyr,https://www.youtube.com/@ayakazaphyr,https://open.spotify.com/intl-ja/track/3aGyZfOWu1kpw69ha8JEm4,Ayaka Zaphyr,아야카 자피르,2024/10/05 8:03:18
150,Bao The Whale,https://www.youtube.com/watch?v=R_nS5XjiFxA,Final Bow,ロック,2024,,https://yt3.googleusercontent.com/YK17uRIkdD-T1JCnZ3_2XpPvK2qKv34dUFZRcQPASUSG6HL9cO5lEQubGx91vIMj-wPpic38=s160-c-k-c0x00ffffff-no-rj,monii,"Johnny R, monii","Johnny R, monii",Johnny R,,,https://twitter.com/baovtuber,https://www.youtube.com/@baovtuber,https://album.link/i/1762912583,Bao The Whale,바오 고래,2024/10/05 7:05:02
151,Bao The Whale,https://www.youtube.com/watch?v=CWj_5Cc_CDU,Burst My Bubble,,2024,,https://yt3.googleusercontent.com/YK17uRIkdD-T1JCnZ3_2XpPvK2qKv34dUFZRcQPASUSG6HL9cO5lEQubGx91vIMj-wPpic38=s160-c-k-c0x00ffffff-no-rj,monii,"Asteroid Music Team (monii, Johnny R)","Asteroid Music Team (monii, Johnny R)",Johnny R,,,https://twitter.com/baovtuber,https://www.youtube.com/@baovtuber,https://songwhip.com/baothewhale,Bao The Whale,바오 고래,2024/10/06 20:27:54
152,Bao The Whale,https://www.youtube.com/watch?v=3Mj9FF_piGQ,Love Me Not,,2023,,https://yt3.googleusercontent.com/YK17uRIkdD-T1JCnZ3_2XpPvK2qKv34dUFZRcQPASUSG6HL9cO5lEQubGx91vIMj-wPpic38=s160-c-k-c0x00ffffff-no-rj,Bao The Whale,Overspace‬,Overspace‬,Univer,,,https://twitter.com/baovtuber,https://www.youtube.com/@baovtuber,https://songwhip.com/baothewhale/love-me-not,Bao The Whale,바오 고래,2024/10/06 20:31:38
153,Nanashi Mumei,https://www.youtube.com/watch?v=Py21QCndbxc,A New Start,,2022,hololive-EN,https://yt3.googleusercontent.com/owZmjfnG_SGVmfkl3eS7Lv47pGvIr2SrS36imh6O8i0H3Wy41fYKD26U7wnyRB627fXoq0aQ0Q=s160-c-k-c0x00ffffff-no-rj,"Kota Morita , Mori Calliope",Tomoari Taguma (Dream Monster),Tomoari Taguma (Dream Monster),Tomoari Taguma (Dream Monster),,,https://twitter.com/nanashimumei_en,https://www.youtube.com/@NanashiMumei,https://cover.lnk.to/ANewStart,Nanashi Mumei,나나시 무메이,2024/10/06 20:40:29
154,Nanashi Mumei,https://www.youtube.com/watch?v=oA0CpI0vCK4,mumei,,2023,hololive-EN,https://yt3.googleusercontent.com/owZmjfnG_SGVmfkl3eS7Lv47pGvIr2SrS36imh6O8i0H3Wy41fYKD26U7wnyRB627fXoq0aQ0Q=s160-c-k-c0x00ffffff-no-rj,TKN,TKN,TKN,TKN,,,https://twitter.com/nanashimumei_en,https://www.youtube.com/@NanashiMumei,https://cover.lnk.to/mumei,Nanashi Mumei,나나시 무메이,2024/10/06 20:42:43
155,Hakos Baelz,https://www.youtube.com/watch?v=na6bysYNuS0,PLAY DICE!,,2022,hololive-EN,https://yt3.googleusercontent.com/9FFCT3cu9FxyLJUUFovpPI7WRj0I7_KuApwkEaLsD0NHVVL2OPTtGn8Qga5YFbeC_47-MoEXrA=s160-c-k-c0x00ffffff-no-rj,Camellia & Hakos Baelz,Camellia ,Camellia ,,,,https://twitter.com/hakosbaelz,https://www.youtube.com/@HakosBaelz,https://cover.lnk.to/PlayDice,Hakos Baelz,하코스 바엘츠,2024/10/06 20:47:06
156,Hakos Baelz,https://www.youtube.com/watch?v=xnX8Lk-iSCo,PSYCHO,,2023,hololive-EN,https://yt3.googleusercontent.com/9FFCT3cu9FxyLJUUFovpPI7WRj0I7_KuApwkEaLsD0NHVVL2OPTtGn8Qga5YFbeC_47-MoEXrA=s160-c-k-c0x00ffffff-no-rj,ZAQ,"タカハシヒビキ, Tom-H@ck",タカハシヒビキ,,Guitar：大和,,https://twitter.com/hakosbaelz,https://www.youtube.com/@HakosBaelz,https://cover.lnk.to/PSYCHO,Hakos Baelz,하코스 바엘츠,2024/10/06 21:32:30
157,Hakos Baelz,https://www.youtube.com/watch?v=xGgKKwc-jWg,E I E N,,2024,hololive-EN,https://yt3.googleusercontent.com/9FFCT3cu9FxyLJUUFovpPI7WRj0I7_KuApwkEaLsD0NHVVL2OPTtGn8Qga5YFbeC_47-MoEXrA=s160-c-k-c0x00ffffff-no-rj,Luna Haruse,Yuuki Furuhashi,Yuuki Furuhashi,,,,https://twitter.com/hakosbaelz,https://www.youtube.com/@HakosBaelz,https://cover.lnk.to/ZODIAC,Hakos Baelz,하코스 바엘츠,2024/10/06 21:34:43
158,Hakos Baelz,https://www.youtube.com/watch?v=7WXVFl-N6-o,R x R x R,,2024,hololive-EN,https://yt3.googleusercontent.com/9FFCT3cu9FxyLJUUFovpPI7WRj0I7_KuApwkEaLsD0NHVVL2OPTtGn8Qga5YFbeC_47-MoEXrA=s160-c-k-c0x00ffffff-no-rj,"ZAQ, Karen Yamaguchi, Hakos Baelz",ZAQ,"ZAQ, eba",,Bass:： Rock Sakurai / Guitar： eba (F.M.F),,https://twitter.com/hakosbaelz,https://www.youtube.com/@HakosBaelz,https://cover.lnk.to/ZODIAC,Hakos Baelz,하코스 바엘츠,2024/10/06 21:38:17
159,Hakos Baelz x Tsunomaki Watame,https://www.youtube.com/watch?v=u9alGJE9ZXA,COLOUR,,2024,hololive-EN,https://yt3.googleusercontent.com/9FFCT3cu9FxyLJUUFovpPI7WRj0I7_KuApwkEaLsD0NHVVL2OPTtGn8Qga5YFbeC_47-MoEXrA=s160-c-k-c0x00ffffff-no-rj,Fujimura Konomi,Endo Shingo,Endo Shingo,Yota Ishizuka,,,https://twitter.com/hakosbaelz,https://www.youtube.com/@HakosBaelz,https://cover.lnk.to/ZODIAC,Hakos Baelz x Tsunomaki Watame,하코스 바엘즈×츠노마키 와타메,2024/10/06 21:40:50
160,Miori Celesta,https://www.youtube.com/watch?v=5tY2UfCjcSE,One Step At A Time,,2023,,https://yt3.googleusercontent.com/kaNjFSu8SjR9kJjHuxcfwKsA12ZeruRk8iJNOxeK0z1_5-zEuaMg_F-BHlXUztmPSVbuKgcxag=s160-c-k-c0x00ffffff-no-rj,,Alohaii (FKA Lone Alpha),Alohaii (FKA Lone Alpha),Inverse,,,https://twitter.com/mioricelesta,https://www.youtube.com/@MioriCelesta,https://open.spotify.com/intl-ja/track/1RMshaKVpGW00tVcTQl82Q?si=0fe56e9b17d8412b&nd=1&dlsi=c220b3f57aef4e91,Miori Celesta,미오리 셀레스타,2024/10/06 21:47:24
161,Miori Celesta,https://www.youtube.com/watch?v=X_R_dfE93Og,Ride the Day,,2022,,https://yt3.googleusercontent.com/kaNjFSu8SjR9kJjHuxcfwKsA12ZeruRk8iJNOxeK0z1_5-zEuaMg_F-BHlXUztmPSVbuKgcxag=s160-c-k-c0x00ffffff-no-rj,Lost.,Lost.,Lost.,Uzuki Tomoya,,,https://twitter.com/mioricelesta,https://www.youtube.com/@MioriCelesta,https://open.spotify.com/intl-ja/track/4Y7U60OImEV1nifBGuS8wX?si=0a63667c9a2c4621&nd=1&dlsi=c4aa6bf17a074b21,Miori Celesta,미오리 셀레스타,2024/10/06 21:51:29
162,Shabel Tonya,https://www.youtube.com/watch?v=Nr3YOvzBEWw,PolyphonicBranch,,2021,idol-EN,https://yt3.googleusercontent.com/ljnQBMPIiErFtOnv6LDIzoufhOH4RhAd0_NIYUZxk_uXWAiW7bz8CGwYqi61PIjfd6coOwkjOpQ=s160-c-k-c0x00ffffff-no-rj,PolyphonicBranch,PolyphonicBranch,PolyphonicBranch,PolyphonicBranch,,,https://twitter.com/ShabelTonya,https://www.youtube.com/@ShabelTonya,https://shabeltonya.streamlink.to/tonyadesu,Shabel Tonya,샤벨 토냐,2024/10/06 22:06:19
163,Miori Celesta,https://www.youtube.com/watch?v=Cj11k91N5_g,Blue,,2023,,https://yt3.googleusercontent.com/kaNjFSu8SjR9kJjHuxcfwKsA12ZeruRk8iJNOxeK0z1_5-zEuaMg_F-BHlXUztmPSVbuKgcxag=s160-c-k-c0x00ffffff-no-rj,Chikafuji Lisa,InVerSe,InVerSe,InVerSe,,,https://twitter.com/mioricelesta,https://www.youtube.com/@MioriCelesta,https://open.spotify.com/intl-ja/track/0ylX5IFbfggtXWu41iDvJo?si=7c98ceab6e604074&nd=1&dlsi=a6db2094bdcf4292,Miori Celesta,미오리 셀레스타,2024/10/06 21:57:52
164,Miori Celesta,https://www.youtube.com/watch?v=OV0hbfw6RMo,Want Me Too!,,2023,,https://yt3.googleusercontent.com/kaNjFSu8SjR9kJjHuxcfwKsA12ZeruRk8iJNOxeK0z1_5-zEuaMg_F-BHlXUztmPSVbuKgcxag=s160-c-k-c0x00ffffff-no-rj,so87music‬,so87music‬,so87music‬,,,,https://twitter.com/mioricelesta,https://www.youtube.com/@MioriCelesta,https://distrokid.com/hyperfollow/so87/want-me-too-feat-miori-celesta,Miori Celesta,미오리 셀레스타,2024/10/07 22:10:49
165,天野寧々,https://www.youtube.com/watch?v=KYLaCVq_TRw,ありったけの I love you,,2024,,https://yt3.googleusercontent.com/OK6xN6vJFmBvRR9PWczR27mDOj_yvE-EUJakmJK4MT-OXJBLlL3mKgc3xu9I1vrbZiLZY2Zj=s160-c-k-c0x00ffffff-no-rj,"Shohei Ito, Minnie P.","Minnie P., Shohei Ito",Shohei Ito,Wings Music Productions,,,https://twitter.com/amanene_kawaii,https://www.youtube.com/channel/UCu1INzefw3R7M9-3QEHYmMQ,,Nene Amano,네네 아마노,2024/10/07 22:37:19
166,天野寧々,https://www.youtube.com/watch?v=Or6MCqXvOTU,婀娜花 -ADABANA,ロック,2024,,https://yt3.googleusercontent.com/OK6xN6vJFmBvRR9PWczR27mDOj_yvE-EUJakmJK4MT-OXJBLlL3mKgc3xu9I1vrbZiLZY2Zj=s160-c-k-c0x00ffffff-no-rj,EUGEN/ユージン,EUGEN/ユージン,EUGEN/ユージン,Yusuke Akimoto,,,https://twitter.com/amanene_kawaii,https://www.youtube.com/channel/UCu1INzefw3R7M9-3QEHYmMQ,,Nene Amano,네네 아마노,2024/10/07 22:40:26
167,天野寧々,https://www.youtube.com/watch?v=oWMSFANFHwQ,Touching Clouds,,2023,,https://yt3.googleusercontent.com/OK6xN6vJFmBvRR9PWczR27mDOj_yvE-EUJakmJK4MT-OXJBLlL3mKgc3xu9I1vrbZiLZY2Zj=s160-c-k-c0x00ffffff-no-rj,Raining Marbles,Raining Marbles,Raining Marbles,Raining Marbles,,,https://twitter.com/amanene_kawaii,https://www.youtube.com/channel/UCu1INzefw3R7M9-3QEHYmMQ,https://album.link/touchingclouds,Nene Amano,네네 아마노,2024/10/07 22:43:32
168,天野寧々,https://www.youtube.com/watch?v=gzoDjxqo6-4,DEVOTION,,2023,,https://yt3.googleusercontent.com/OK6xN6vJFmBvRR9PWczR27mDOj_yvE-EUJakmJK4MT-OXJBLlL3mKgc3xu9I1vrbZiLZY2Zj=s160-c-k-c0x00ffffff-no-rj,wotaku,wotaku,wotaku,wotaku,,,https://twitter.com/amanene_kawaii,https://www.youtube.com/channel/UCu1INzefw3R7M9-3QEHYmMQ,https://album.link/devotion,Nene Amano,네네 아마노,2024/10/07 22:45:37
169,天野寧々,https://www.youtube.com/watch?v=sB0j2e_ptFY,Friday Night フライデー・ナイト,シティーポップ,2024,,https://yt3.googleusercontent.com/OK6xN6vJFmBvRR9PWczR27mDOj_yvE-EUJakmJK4MT-OXJBLlL3mKgc3xu9I1vrbZiLZY2Zj=s160-c-k-c0x00ffffff-no-rj,Iku Hoshifuri,Inverse,Inverse,Inverse,,,https://twitter.com/amanene_kawaii,https://www.youtube.com/channel/UCu1INzefw3R7M9-3QEHYmMQ,,Nene Amano,네네 아마노,2024/10/07 22:48:24
170,天野寧々,https://www.youtube.com/watch?v=O9SFsccXYf4,DOGEZA,和風ロック,2023,,https://yt3.googleusercontent.com/OK6xN6vJFmBvRR9PWczR27mDOj_yvE-EUJakmJK4MT-OXJBLlL3mKgc3xu9I1vrbZiLZY2Zj=s160-c-k-c0x00ffffff-no-rj,"Aerize,Ooyama Aina",Aerize,Aerize,Zephyrianna,,,https://twitter.com/amanene_kawaii,https://www.youtube.com/channel/UCu1INzefw3R7M9-3QEHYmMQ,https://song.link/dogeza,Nene Amano,네네 아마노,2024/10/07 22:53:34
171,Millie Parfait,https://www.youtube.com/watch?v=3t-IfgQC-W0,Don't Trick Me,,2024,NIJISANJI EN,https://yt3.googleusercontent.com/QlRHzMM0rIUcawzWSJ5ZIoWUhXJD8M_aCfVFrHYzlP0WEJF-4mU8jkb0s8MTPpGy4NdfRXlUiJ4=s160-c-k-c0x00ffffff-no-rj,ERECA,ERECA・oni,oni,,,,https://twitter.com/MillieParfait,https://www.youtube.com/@MillieParfait,,Millie Parfait,밀리 파르페,2024/10/10 22:49:37
172,Millie Parfait,https://www.youtube.com/watch?v=I90lq1gd0X8,Story of a Forgotten Girl,,2021,NIJISANJI EN,https://yt3.googleusercontent.com/QlRHzMM0rIUcawzWSJ5ZIoWUhXJD8M_aCfVFrHYzlP0WEJF-4mU8jkb0s8MTPpGy4NdfRXlUiJ4=s160-c-k-c0x00ffffff-no-rj,Millie Parfait,Millie Parfait,,,,,https://twitter.com/MillieParfait,https://www.youtube.com/@MillieParfait,,Millie Parfait,밀리 파르페,2024/10/10 22:56:42
173,Millie Parfait,https://www.youtube.com/watch?v=_JPIX7mCM-c,Story Of A Suffering Girl,,2021,NIJISANJI EN,https://yt3.googleusercontent.com/QlRHzMM0rIUcawzWSJ5ZIoWUhXJD8M_aCfVFrHYzlP0WEJF-4mU8jkb0s8MTPpGy4NdfRXlUiJ4=s160-c-k-c0x00ffffff-no-rj,Millie Parfait,Millie Parfait,,,,,https://twitter.com/MillieParfait,https://www.youtube.com/@MillieParfait,,Millie Parfait,밀리 파르페,2024/10/10 22:59:38
174,Millie Parfait,https://www.youtube.com/watch?v=M0F0nND9wL4,輪廻,,2022,NIJISANJI EN,https://yt3.googleusercontent.com/QlRHzMM0rIUcawzWSJ5ZIoWUhXJD8M_aCfVFrHYzlP0WEJF-4mU8jkb0s8MTPpGy4NdfRXlUiJ4=s160-c-k-c0x00ffffff-no-rj,millstones ,millstones ,millstones ,,,,https://twitter.com/MillieParfait,https://www.youtube.com/@MillieParfait,,Millie Parfait,밀리 파르페,2024/10/10 23:03:11
175,Millie Parfait,https://www.youtube.com/watch?v=9vLVbWggv0o,So did you - shitpost,,2023,NIJISANJI EN,https://yt3.googleusercontent.com/QlRHzMM0rIUcawzWSJ5ZIoWUhXJD8M_aCfVFrHYzlP0WEJF-4mU8jkb0s8MTPpGy4NdfRXlUiJ4=s160-c-k-c0x00ffffff-no-rj,Millie and Friends,Millie Parfait,Kizmet,Millie Parfait,,,https://twitter.com/MillieParfait,https://www.youtube.com/@MillieParfait,,Millie Parfait,밀리 파르페,2024/10/10 23:07:18
176,Kuwanano,https://www.youtube.com/watch?v=_meKfEZUmcs,Follow my Voice,ロック,2024,,https://yt3.googleusercontent.com/Fa5dDE7exw1d1H7ctxuI5viUBqQnDCAXV5nN6_UR3mgyQqTUWyBT-Kx14n8APg_-bjOkyEG1cg=s160-c-k-c0x00ffffff-no-rj,Kuwanano,KawaiiPastel,KawaiiPastel,,,,https://twitter.com/kuwanano_vt,https://www.youtube.com/@kuwanano_vt,https://open.spotify.com/intl-ja/artist/3EGkGOYgtgZk6krIH50Qzs?si=KUVvZ2rXRMykmD-FArn3iw&nd=1&dlsi=ab1ebe3a560d42be,Kuwanano,쿠와나노,2024/10/14 18:26:59
177,Kuwanano,https://www.youtube.com/watch?v=BGtJDVH0TaA,Wayfinder,ロック,2024,,https://yt3.googleusercontent.com/Fa5dDE7exw1d1H7ctxuI5viUBqQnDCAXV5nN6_UR3mgyQqTUWyBT-Kx14n8APg_-bjOkyEG1cg=s160-c-k-c0x00ffffff-no-rj,Kuwanano,KawaiiPastel‬ ,KawaiiPastel‬ ,,,,https://twitter.com/kuwanano_vt,https://www.youtube.com/@kuwanano_vt,https://open.spotify.com/intl-ja/artist/3EGkGOYgtgZk6krIH50Qzs?si=KUVvZ2rXRMykmD-FArn3iw&nd=1&dlsi=d20c536381534765,Kuwanano,쿠와나노,2024/10/14 18:29:01
178,Kuwanano,https://www.youtube.com/watch?v=X-ZjtitnpNc,Kuudray - Strings,,2023,,https://yt3.googleusercontent.com/Fa5dDE7exw1d1H7ctxuI5viUBqQnDCAXV5nN6_UR3mgyQqTUWyBT-Kx14n8APg_-bjOkyEG1cg=s160-c-k-c0x00ffffff-no-rj,Kuwanano,Kuudray,Kuudray,Kuudray,,,https://twitter.com/kuwanano_vt,https://www.youtube.com/@kuwanano_vt,https://ffm.to/kuwanano-strings,Kuwanano,쿠와나노,2024/10/14 18:31:02
179,Kuwanano,https://www.youtube.com/watch?v=v9T91drrqRQ,Taboo,,2023,,https://yt3.googleusercontent.com/Fa5dDE7exw1d1H7ctxuI5viUBqQnDCAXV5nN6_UR3mgyQqTUWyBT-Kx14n8APg_-bjOkyEG1cg=s160-c-k-c0x00ffffff-no-rj,Kuwanano / Sunny Hinode,kawaiipastel,kawaiipastel,kawaiipastel,,,https://twitter.com/kuwanano_vt,https://www.youtube.com/@kuwanano_vt,https://open.spotify.com/intl-ja/album/7ucXCVpu9i0jXrwFpHu5Z8?si=AQqArBLORL2Sg_MrPTTwrA&nd=1&dlsi=feb3214abd60447d,Kuwanano,쿠와나노,2024/10/14 18:33:54
180,Kuwanano,https://www.youtube.com/watch?v=wy-5yqxKJNU,Cutting Wires,,2022,,https://yt3.googleusercontent.com/Fa5dDE7exw1d1H7ctxuI5viUBqQnDCAXV5nN6_UR3mgyQqTUWyBT-Kx14n8APg_-bjOkyEG1cg=s160-c-k-c0x00ffffff-no-rj,Kuwanano / Sunny Hinode,kawaiipastel,kawaiipastel,kawaiipastel,,,https://twitter.com/kuwanano_vt,https://www.youtube.com/@kuwanano_vt,https://open.spotify.com/intl-ja/track/0JhB8UgWMJVAQTlHuVGluW,Kuwanano,쿠와나노,2024/10/14 18:36:15
181,Kuwanano,https://www.youtube.com/watch?v=O1DSfLfJ734,Sound of the Mirror,,2022,,https://yt3.googleusercontent.com/Fa5dDE7exw1d1H7ctxuI5viUBqQnDCAXV5nN6_UR3mgyQqTUWyBT-Kx14n8APg_-bjOkyEG1cg=s160-c-k-c0x00ffffff-no-rj,Kuwanano / Sunny Hinode,kawaiipastel,kawaiipastel,kawaiipastel,,,https://twitter.com/kuwanano_vt,https://www.youtube.com/@kuwanano_vt,https://open.spotify.com/intl-ja/track/1YjxRTsP5N4wZcJ9f8d2bA,Kuwanano,쿠와나노,2024/10/14 18:38:13
182,Kuwanano,https://www.youtube.com/watch?v=0pTBJ6_jixw,Cinder,,2022,,https://yt3.googleusercontent.com/Fa5dDE7exw1d1H7ctxuI5viUBqQnDCAXV5nN6_UR3mgyQqTUWyBT-Kx14n8APg_-bjOkyEG1cg=s160-c-k-c0x00ffffff-no-rj,Kuwanano / Sunny Hinode,kawaiipastel,kawaiipastel,kawaiipastel,,,https://twitter.com/kuwanano_vt,https://www.youtube.com/@kuwanano_vt,https://open.spotify.com/intl-ja/artist/3EGkGOYgtgZk6krIH50Qzs?si=OeaXfl34QwSas7kQNT2OVQ&nd=1&dlsi=162a16b8db4743cf,Kuwanano,쿠와나노,2024/10/14 18:41:11
183,Kuwanano,https://www.youtube.com/watch?v=knLKuo0Dby0,silent NOISE,ロック,2022,,https://yt3.googleusercontent.com/Fa5dDE7exw1d1H7ctxuI5viUBqQnDCAXV5nN6_UR3mgyQqTUWyBT-Kx14n8APg_-bjOkyEG1cg=s160-c-k-c0x00ffffff-no-rj,Kuwanano / JuudenkiJDK,kawaiipasutel,kawaiipasutel,kawaiipasutel,,,https://twitter.com/kuwanano_vt,https://www.youtube.com/@kuwanano_vt,https://kawaiipasutel.bandcamp.com/album/silent-noise,Kuwanano,쿠와나노,2024/10/14 18:43:29
184,Kuwanano,https://www.youtube.com/watch?v=SRis4qc33fY,Melanchomaniac,,2021,,https://yt3.googleusercontent.com/Fa5dDE7exw1d1H7ctxuI5viUBqQnDCAXV5nN6_UR3mgyQqTUWyBT-Kx14n8APg_-bjOkyEG1cg=s160-c-k-c0x00ffffff-no-rj,SNII / Juudenki,JunbugP,JunbugP,JunbugP,,,https://twitter.com/kuwanano_vt,https://www.youtube.com/@kuwanano_vt,,Kuwanano,쿠와나노,2024/10/14 18:45:31
185,Kuwanano,https://www.youtube.com/watch?v=Xq5nl_Q2GDw,DELETE,,2021,,https://yt3.googleusercontent.com/Fa5dDE7exw1d1H7ctxuI5viUBqQnDCAXV5nN6_UR3mgyQqTUWyBT-Kx14n8APg_-bjOkyEG1cg=s160-c-k-c0x00ffffff-no-rj,Kuwanano / Datenkou,kawaiipasutel ,kawaiipasutel ,kawaiipasutel ,,,https://twitter.com/kuwanano_vt,https://www.youtube.com/@kuwanano_vt,https://kawaiipasutel.bandcamp.com/album/delete,Kuwanano,쿠와나노,2024/10/14 18:47:29
186,Silvi Mikazuki,https://www.youtube.com/watch?v=ZbqHfFHu78U,Afterschool Princess 放課後プリンセス,,2024,,https://yt3.googleusercontent.com/xwgvcvm1scEq1d1x2IL-v7FFEL0_lcyZXb7k40MitNowt9cKL8T1gIGfSV8pdvJl0Zv2p3v-Pw=s160-c-k-c0x00ffffff-no-rj,Akira Okumura ,Akira Okumura ,Akira Okumura ,Vesen,,,https://twitter.com/SilviVTuber,https://www.youtube.com/@SilviMikazuki,https://distrokid.com/hyperfollow/silvimikazuki/afterschool-princess--2,Silvi Mikazuki,실비 미카즈키,2024/10/14 18:51:36
187,Silvi Mikazuki,https://www.youtube.com/watch?v=anHdrAOMHX0,Memories of First Snow 初雪のキオク,,2021,,https://yt3.googleusercontent.com/xwgvcvm1scEq1d1x2IL-v7FFEL0_lcyZXb7k40MitNowt9cKL8T1gIGfSV8pdvJl0Zv2p3v-Pw=s160-c-k-c0x00ffffff-no-rj,Tokyo Terrace MP,Tokyo Terrace MP,Tokyo Terrace MP,Tokyo Terrace MP,,,https://twitter.com/SilviVTuber,https://www.youtube.com/@SilviMikazuki,,Silvi Mikazuki,실비 미카즈키,2024/10/14 18:53:21
188,Silvi Mikazuki,https://www.youtube.com/watch?v=mWOB2EiwQLk,Reminiscence of Ice and Snow 雪月氷の追憶,,2022,,https://yt3.googleusercontent.com/xwgvcvm1scEq1d1x2IL-v7FFEL0_lcyZXb7k40MitNowt9cKL8T1gIGfSV8pdvJl0Zv2p3v-Pw=s160-c-k-c0x00ffffff-no-rj,Tokyo Terrace MP,Tokyo Terrace MP,Tokyo Terrace MP,Zephysonas ,,,https://twitter.com/SilviVTuber,https://www.youtube.com/@SilviMikazuki,,Silvi Mikazuki,실비 미카즈키,2024/10/14 18:55:18
189,Mimi Lucelle,https://www.youtube.com/watch?v=82-UsOjSjs0,Reverie,,2024,,https://yt3.googleusercontent.com/HuDtI6xR1tfSl7JPXWX4joIPYyUVsH2kkrShERL_bDhVyO-Q2711gt4Tr1q_gGYM3JaInHaw=s160-c-k-c0x00ffffff-no-rj,Monii Bagel,Ari,Ari,Johnny R,,,https://twitter.com/meotashie,https://www.youtube.com/@MimiLucelle,https://open.spotify.com/intl-ja/album/5D86qGpOMZimsNM5yaa0tk?si=V_sydvfFQlij2bIi4ritIQ&nd=1&dlsi=8cc64fddf4244c26,Mimi Lucelle,미미 루셀,2024/10/14 19:10:11
190,ふぁな,https://www.youtube.com/watch?v=Tzngwfhkqn0,Cotton Candy ♡,,2024,,https://yt3.googleusercontent.com/cf9CC7VovFPtWb0uOKp9gG8-zpp7gHNRxxqqaeeVRzGHvBrmx7ubcc_kmw9JiPO-r0lsRLF6YA=s160-c-k-c0x00ffffff-no-rj,louz,,shuttershade,kururu ,,,,https://www.youtube.com/@fuawna,https://push.fm/fl/13hyrfxv,Fana,파나,2024/10/14 19:15:24
191,鈴音にあ,https://www.youtube.com/watch?v=IsXEPSfOb6w,League of Legends,ハードロック,2024,,https://yt3.googleusercontent.com/EZIsXrouGx2aOmLFm39j_fLbX-5XSqIZZN20OHosxCvZbrjXFAk9z_GBWk1B4jaafizyAjTDBPY=s160-c-k-c0x00ffffff-no-rj,League of Legends ft. Djerv,League of Legends ft. Djerv,un Mitsui ,un Mitsui ,,,https://twitter.com/NiaSuzune,https://www.youtube.com/@NiaSuzune,,To Suzune,스즈네에게,2024/10/14 19:20:48
192,ルニ・ルーズ,https://www.youtube.com/watch?v=LN35zu145kI,AposTASTY,,2024,,https://yt3.googleusercontent.com/sqxKhPRi0_Z_40mb5fmfMdMqsHzBDZPi2_AAJj3kDfGWJwxrrsRYOQMCu8GWdBOTExcUH9sd=s160-c-k-c0x00ffffff-no-rj,Runie Ruse,Codly,Codly,PliXoR,,,https://twitter.com/RunieRuse,https://www.youtube.com/@RunieRuse,,Luni Luz,루니 루즈,2024/10/14 19:24:31
193,Kaneko Lumi,https://www.youtube.com/watch?v=yej6k7FXanY,Feeling,,2023,,https://yt3.googleusercontent.com/oESDqgL3kOUlg9Jg_5dIY3rRoYRTQCuzAQ057j9tgHV9zE5Uj0tOuobTs8lZU_u-EvsQR5eHLro=s160-c-k-c0x00ffffff-no-rj,SO87 / Kaneko Lumi,SO87,SO87,,,,https://twitter.com/Kaneko_Lumi,https://www.youtube.com/@KanekoLumi,,Kaneko Lumi,가네코 루미,2024/10/14 19:31:25
194,Silvervale,https://www.youtube.com/watch?v=YdTTe09nPzM,Home,,2021,,https://yt3.googleusercontent.com/hSsCpkNyXr_RZF-PgaFGqBiAYaDqlkA2h9Ug8wNsQVOnXXli469QnpihNFPo5j1mMBeNMtdXZg=s160-c-k-c0x00ffffff-no-rj,,Daryl has a new handle,Daryl has a new handle,Daryl has a new handle,,,https://twitter.com/_Silvervale_,https://www.youtube.com/@Silvervale,https://open.spotify.com/intl-ja/track/2evufFhNj8ijx9MMT2l4VP?si=qOqkQ4uuQRaWQ9cLjMbPFQ&nd=1&dlsi=fdb72b306a8e4049,Silvervale,실버베일,2024/10/14 19:39:37
195,Silvervale,https://www.youtube.com/watch?v=jaqKqhWTlVo,Game Boy,チップチューン,2023,,https://yt3.googleusercontent.com/hSsCpkNyXr_RZF-PgaFGqBiAYaDqlkA2h9Ug8wNsQVOnXXli469QnpihNFPo5j1mMBeNMtdXZg=s160-c-k-c0x00ffffff-no-rj,YAYARI,AYIKO,AYIKO,YAYARI,,,https://twitter.com/_Silvervale_,https://www.youtube.com/@Silvervale,https://open.spotify.com/intl-ja/album/1BtwRaHxgG1uW6wATQhZNf,Silvervale,실버베일,2024/10/14 19:46:52
